Drive-id,Rest_Start,Rest_End,Z_Start,Z_End,City1_Start,City1_End,Hwy_Start,Hwy_End,City2_Start,City2_End,City2_Start,City2_End,Hwy_Start,Hwy_End,City1_Start,City1_End,Z_Start,Z_End,Rest_Start,Rest_End
Drv1,688,4288,4580,5248,5296,6408,7088,8208,8728,11300,11608,13564,13676,14904,15432,16408,16484,17136,17248,20848
Drv2,10972,14204,14560,15016,15260,16348,16752,17748,18384,20772,21196,23108,23200,24380,24868,25788,25904,26420,26532,28532
Drv3,3728,7356,7352,8320,8412,9348,9864,11076,11420,13580,14040,16240,16356,17476,18392,19252,19340,20296,20284,23936
Drv4,2388,5988,6420,7164,7308,9080,9668,10900,11332,13360,13756,15884,16100,17348,17812,19016,19084,19940,20024,23572
Drv5,2656,6260,6548,7200,7472,9576,10284,11376,11884,14016,14336,16156,16576,17560,18088,19628,19656,20296,21452,25216
Drv6,2624,6224,7496,8096,8124,9544,9992,11056,11472,13584,13928,16032,16164,17264,17672,18852,18888,19584,19868,23468
Drv7,3712,7312,7632,8352,8432,9432,9724,10880,11312,13872,14520,16632,16744,17504,18304,19112,19320,19952,20512,24112
Drv8,3988,7588,7768,8520,8588,10888,11328,12648,12992,15104,15720,17508,17608,18968,19428,20448,20608,21248,21648,25248
Drv9,3756,7356,7432,8132,8296,9272,9752,10816,11188,13032,13432,15412,15520,16632,16952,17632,17752,18748,18972,22572
Drv10,4328,8320,9316,9868,10060,11428,11928,13120,13464,15768,16168,18208,18288,19496,20144,21088,21128,21688,22208,25980
Drv11,4936,8804,9056,9576,9764,11504,11976,13124,13656,15764,16152,18340,18484,19644,20124,21204,21204,22404,22520,26120
Drv12,3892,7492,7532,8164,8292,9692,10272,11644,11892,14140,14452,16864,17064,18172,18848,19912,19988,20616,20932,24532
Drv13,4288,7932,8236,8800,8848,10968,11464,12488,13528,15532,16072,18408,18500,19648,20088,20968,21088,21576,21808,25408
