Time;HR;BR;Posture;Activity
09:10:38.438;65;8.1;-79;0.12
09:10:39.438;65;8.1;-82;0.24
09:10:40.438;65;7.3;-79;1.39
09:10:41.438;65;7.3;-78;0.73
09:10:42.438;65;6.6;-69;0.39
09:10:43.438;65;6.6;-75;0.45
09:10:44.438;65;6.9;-76;0.64
09:10:45.438;0;6.9;-73;0.53
09:10:46.438;0;7.2;-77;0.33
09:10:47.438;0;7.2;-80;0.63
09:10:48.438;0;7.8;-83;0.33
09:10:49.438;0;7.8;-84;0.21
09:10:50.438;0;8.2;-84;0.20
09:10:51.438;0;8.2;-83;0.20
09:10:52.438;57;8.7;-84;0.41
09:10:53.438;53;8.7;-68;1.02
09:10:54.438;51;9.1;-69;0.47
09:10:55.438;51;9.1;-72;0.26
09:10:56.438;50;9.4;-77;0.26
09:10:57.438;50;9.4;-82;0.37
09:10:58.438;50;9.6;-85;0.33
09:10:59.438;50;9.6;-89;0.57
09:11:00.438;50;9.7;-88;0.53
09:11:01.438;50;9.7;-85;0.43
09:11:02.438;0;9.9;-83;0.32
09:11:03.438;57;9.9;-82;0.29
09:11:04.438;53;10.1;-80;0.30
09:11:05.438;44;10.1;-80;0.28
09:11:06.438;40;10.2;-80;0.28
09:11:07.438;38;10.2;-79;0.23
09:11:08.438;32;10.4;-79;0.25
09:11:09.438;26;10.4;-74;0.40
09:11:10.438;24;10.3;-76;0.24
09:11:11.438;26;10.3;-71;0.34
09:11:12.438;27;10.2;-66;0.33
09:11:13.438;27;10.2;-73;0.36
09:11:14.438;27;10.1;-87;0.46
09:11:15.438;26;10.1;-91;0.28
09:11:16.438;27;10.1;-85;0.26
09:11:17.438;27;10.1;-82;0.21
09:11:18.438;27;10.2;-82;0.24
09:11:19.438;28;10.2;-78;0.25
09:11:20.438;28;10.4;-72;0.35
09:11:21.438;28;10.4;-66;0.34
09:11:22.438;28;10.5;-68;0.32
09:11:23.438;28;10.5;68;0.60
09:11:24.438;28;10.6;69;0.73
09:11:25.438;28;10.6;79;0.51
09:11:26.438;27;10.7;84;0.31
09:11:27.438;26;10.7;86;0.17
09:11:28.438;26;10.8;87;0.08
09:11:29.438;26;10.8;86;0.05
09:11:30.438;26;10.9;85;0.05
09:11:31.438;26;10.9;84;0.08
09:11:32.438;26;11.0;84;0.20
09:11:33.438;25;11.0;83;0.61
09:11:34.438;25;11.0;79;0.57
09:11:35.438;26;11.0;79;0.27
09:11:36.438;26;11.0;80;0.08
09:11:37.438;27;11.0;82;0.11
09:11:38.438;27;11.0;85;0.19
09:11:39.438;27;11.0;85;0.14
09:11:40.438;27;11.0;89;0.13
09:11:41.438;27;11.0;89;0.07
09:11:42.438;27;10.8;89;0.15
09:11:43.438;27;10.8;89;0.10
09:11:44.438;27;9.7;91;0.11
09:11:45.438;27;9.7;91;0.12
09:11:46.438;27;9.0;92;0.13
09:11:47.438;27;9.0;92;0.11
09:11:48.438;27;8.7;93;0.16
09:11:49.438;27;8.7;91;0.11
09:11:50.438;27;8.5;83;0.40
09:11:51.438;27;8.5;83;0.69
09:11:52.438;27;8.2;81;0.76
09:11:53.438;27;8.2;94;0.38
09:11:54.438;28;8.1;89;0.73
09:11:55.438;29;8.1;80;0.75
09:11:56.438;29;7.9;82;0.50
09:11:57.438;29;7.9;78;0.27
09:11:58.438;29;7.8;75;0.26
09:11:59.438;29;7.8;74;0.26
09:12:00.438;29;7.8;68;0.24
09:12:01.438;29;7.8;67;0.22
09:12:02.438;29;7.9;72;0.33
09:12:03.438;29;7.9;71;0.34
09:12:04.438;29;7.9;62;0.27
09:12:05.438;29;7.9;66;0.19
09:12:06.438;29;8.2;73;0.45
09:12:07.438;29;8.2;85;1.41
09:12:08.438;29;8.6;-97;0.78
09:12:09.438;30;8.6;-107;0.52
09:12:10.438;30;9.0;-116;0.65
09:12:11.438;30;9.0;-122;0.48
09:12:12.438;30;9.4;-118;0.44
09:12:13.438;31;9.4;-105;0.52
09:12:14.438;31;9.8;-93;0.59
09:12:15.438;33;9.8;-93;0.45
09:12:16.438;33;10.2;-92;0.50
09:12:17.438;34;10.2;-89;0.47
09:12:18.438;33;10.5;-78;0.46
09:12:19.438;33;10.5;-80;0.30
09:12:20.438;33;10.7;-81;0.22
09:12:21.438;33;10.7;-91;0.32
09:12:22.438;33;11.0;-91;0.34
09:12:23.438;33;11.0;-70;0.82
09:12:24.438;33;11.2;-33;0.80
09:12:25.438;33;11.2;-19;0.40
09:12:26.438;33;11.4;-16;0.18
09:12:27.438;34;11.4;-15;0.08
09:12:28.438;35;11.6;-16;0.05
09:12:29.438;36;11.6;-15;0.15
09:12:30.438;37;11.8;-14;0.37
09:12:31.438;38;11.8;-8;0.26
09:12:32.438;38;11.9;6;0.10
09:12:33.438;38;11.9;5;0.04
09:12:34.438;38;12.1;4;0.07
09:12:35.438;38;12.1;3;0.16
09:12:36.438;38;12.2;3;0.27
09:12:37.438;39;12.2;4;0.24
09:12:38.438;39;12.3;5;0.19
09:12:39.438;39;12.3;8;0.16
09:12:40.438;41;12.4;8;0.11
09:12:41.438;42;12.4;-7;0.18
09:12:42.438;43;11.4;-6;0.13
09:12:43.438;44;11.4;-7;0.09
09:12:44.438;44;10.6;-10;0.06
09:12:45.438;50;10.6;-10;0.03
09:12:46.438;56;9.8;-11;0.02
09:12:47.438;58;9.8;-11;0.02
09:12:48.438;60;9.5;-12;0.02
09:12:49.438;61;9.5;-12;0.05
09:12:50.438;67;9.1;-11;0.07
09:12:51.438;82;9.1;-10;0.03
09:12:52.438;85;9.1;-10;0.02
09:12:53.438;85;9.1;-11;0.02
09:12:54.438;88;9.4;-11;0.01
09:12:55.438;90;9.4;-11;0.02
09:12:56.438;91;9.7;-11;0.01
09:12:57.438;93;9.7;-11;0.01
09:12:58.438;93;10.2;-11;0.01
09:12:59.438;90;10.2;-11;0.01
09:13:00.438;85;10.7;-11;0.02
09:13:01.438;83;10.7;-11;0.02
09:13:02.438;82;10.8;-11;0.02
09:13:03.438;81;10.8;-10;0.01
09:13:04.438;82;10.9;-10;0.02
09:13:05.438;84;10.9;-10;0.27
09:13:06.438;88;11.3;10;0.18
09:13:07.438;93;11.3;5;0.18
09:13:08.438;96;11.7;8;0.21
09:13:09.438;97;11.7;10;0.13
