;HR;BR;Posture;Activity
08:39:01.435;65;8.1;-86;0.18
08:39:02.435;65;8.1;-68;0.61
08:39:03.435;65;7.3;-73;0.26
08:39:04.435;65;7.3;-79;0.29
08:39:05.435;65;6.6;-84;0.19
08:39:06.435;65;6.6;-87;0.12
08:39:07.435;65;5.9;-88;0.07
08:39:08.435;0;5.9;-89;0.04
08:39:09.435;0;6.3;-88;0.06
08:39:10.435;0;6.3;-86;0.12
08:39:11.435;0;6.7;-85;0.10
08:39:12.435;0;6.7;-94;0.37
08:39:13.435;0;7.2;-130;1.02
08:39:14.435;0;7.2;-112;1.20
08:39:15.435;0;7.6;-116;0.73
08:39:16.435;0;7.6;-129;0.54
08:39:17.435;0;8.2;-102;0.68
08:39:18.435;0;8.2;-91;0.32
08:39:19.435;0;8.7;-86;0.17
08:39:20.435;0;8.7;-83;0.08
08:39:21.435;0;9.2;-82;0.04
08:39:22.435;0;9.2;-82;0.02
08:39:23.435;0;9.6;80;0.17
08:39:24.435;0;9.6;82;0.17
08:39:25.435;0;10.0;78;0.41
08:39:26.435;0;10.0;76;0.37
08:39:27.435;57;10.2;75;0.28
08:39:28.435;51;10.2;76;0.26
08:39:29.435;49;10.5;76;0.29
08:39:30.435;48;10.5;-74;0.86
08:39:31.435;47;10.7;-76;0.50
08:39:32.435;47;10.7;-79;0.32
08:39:33.435;47;10.9;-79;0.15
08:39:34.435;49;10.9;-82;0.18
08:39:35.435;50;11.1;-84;0.12
08:39:36.435;51;11.1;-84;0.17
08:39:37.435;52;11.3;-82;0.42
08:39:38.435;52;11.3;-82;0.52
08:39:39.435;52;11.4;-83;0.77
08:39:40.435;52;11.4;97;1.13
08:39:41.435;52;11.5;109;0.81
08:39:42.435;52;11.5;19;1.16
08:39:43.435;52;11.7;-18;0.81
08:39:44.435;52;11.7;-19;0.47
08:39:45.435;52;11.9;-14;0.16
08:39:46.435;0;11.9;-12;0.08
08:39:47.435;0;12.0;-10;0.09
08:39:48.435;0;12.0;-9;0.04
08:39:49.435;0;12.2;-10;0.06
08:39:50.435;0;12.2;-8;0.02
08:39:51.435;57;12.3;-8;0.03
08:39:52.435;53;12.3;-10;0.03
08:39:53.435;51;12.4;-10;0.02
08:39:54.435;51;12.4;-10;0.07
08:39:55.435;50;12.4;-10;0.11
08:39:56.435;50;12.4;-21;0.50
08:39:57.435;50;11.5;-58;1.06
08:39:58.435;50;11.5;-60;0.90
08:39:59.435;50;10.8;-75;0.46
08:40:00.435;50;10.8;-86;0.44
08:40:01.435;0;10.2;91;0.55
08:40:02.435;0;10.2;87;0.37
08:40:03.435;0;9.6;91;0.31
08:40:04.435;0;9.6;92;0.25
08:40:05.435;0;9.2;91;0.25
08:40:06.435;0;9.2;91;0.31
08:40:07.435;57;8.9;92;0.29
08:40:08.435;53;8.9;-94;0.37
08:40:09.435;46;8.5;-95;0.48
08:40:10.435;40;8.5;-94;1.04
08:40:11.435;37;8.3;-92;1.06
08:40:12.435;44;8.3;-88;0.55
08:40:13.435;48;8.1;-89;0.53
08:40:14.435;49;8.1;-91;0.30
08:40:15.435;50;7.9;-94;0.25
08:40:16.435;50;7.9;-86;0.73
08:40:17.435;50;7.7;-68;0.67
08:40:18.435;50;7.7;-50;0.45
08:40:19.435;50;7.6;-40;0.35
08:40:20.435;50;7.6;-24;0.59
08:40:21.435;50;7.7;-11;0.42
08:40:22.435;50;7.7;17;0.73
08:40:23.435;50;7.7;-22;0.40
08:40:24.435;50;7.7;-12;0.31
08:40:25.435;50;7.9;-6;0.33
08:40:26.435;50;7.9;-7;0.15
08:40:27.435;50;8.3;-8;0.13
08:40:28.435;50;8.3;-8;0.06
08:40:29.435;51;8.8;-11;0.07
08:40:30.435;51;8.8;-11;0.12
08:40:31.435;51;9.4;-8;0.20
08:40:32.435;51;9.4;-7;0.19
08:40:33.435;50;9.9;-7;0.07
08:40:34.435;50;9.9;-7;0.03
08:40:35.435;51;10.4;-6;0.02
08:40:36.435;57;10.4;-6;0.08
08:40:37.435;76;9.3;-7;0.09
08:40:38.435;93;9.3;-10;0.44
08:40:39.435;102;8.7;-11;0.42
08:40:40.435;107;8.7;-11;0.33
08:40:41.435;109;8.2;7;0.31
08:40:42.435;111;8.2;7;0.14
08:40:43.435;112;7.7;-9;0.15
08:40:44.435;113;7.7;-12;0.28
08:40:45.435;113;7.5;-10;0.12
08:40:46.435;114;7.5;-6;0.17
08:40:47.435;113;7.3;4;0.21
08:40:48.435;112;7.3;3;0.17
08:40:49.435;112;7.1;-3;0.09
08:40:50.435;109;7.1;-2;0.08
08:40:51.435;106;7.0;-1;0.08
08:40:52.435;106;7.0;-1;0.05
08:40:53.435;105;6.6;4;0.20
08:40:54.435;105;6.6;2;0.17
08:40:55.435;105;6.5;1;0.22
08:40:56.435;106;6.5;-2;0.17
08:40:57.435;107;6.8;-1;0.25
08:40:58.435;106;6.8;-3;0.41
08:40:59.435;104;7.3;-5;0.11
08:41:00.435;104;7.3;-5;0.12
08:41:01.435;105;7.7;-3;0.10
08:41:02.435;108;7.7;-2;0.11
08:41:03.435;107;8.2;-4;0.13
08:41:04.435;105;8.2;-4;0.08
08:41:05.435;105;8.6;-1;0.10
08:41:06.435;105;8.6;3;0.11
08:41:07.435;107;8.9;4;0.18
08:41:08.435;109;8.9;3;0.09
08:41:09.435;111;9.2;3;0.08
08:41:10.435;111;9.2;-2;0.03
08:41:11.435;111;8.6;-2;0.02
08:41:12.435;107;8.6;-2;0.01
08:41:13.435;106;8.0;-2;0.02
08:41:14.435;107;8.0;-3;0.02
08:41:15.435;104;7.5;-3;0.01
08:41:16.435;103;7.5;-3;0.02
08:41:17.435;105;7.1;-3;0.02
08:41:18.435;105;7.1;-3;0.02
08:41:19.435;99;6.7;-3;0.02
08:41:20.435;99;6.7;-3;0.02
08:41:21.435;98;6.3;-3;0.02
08:41:22.435;95;6.3;-3;0.02
08:41:23.435;92;6.3;-3;0.02
08:41:24.435;90;6.3;-2;0.02
08:41:25.435;93;6.3;-2;0.01
08:41:26.435;96;6.3;-2;0.02
08:41:27.435;93;6.3;-2;0.03
08:41:28.435;93;6.3;-5;0.13
08:41:29.435;92;6.5;-2;0.15
08:41:30.435;89;6.5;-1;0.05
08:41:31.435;87;6.5;-1;0.02
08:41:32.435;87;6.5;-1;0.01
08:41:33.435;87;6.4;-1;0.02
08:41:34.435;85;6.4;-1;0.02
08:41:35.435;84;6.4;-1;0.02
08:41:36.435;82;6.4;-1;0.01
08:41:37.435;83;6.7;-1;0.02
08:41:38.435;84;6.7;1;0.06
08:41:39.435;86;7.2;1;0.02
08:41:40.435;89;7.2;-1;0.03
08:41:41.435;94;7.7;-1;0.03
08:41:42.435;96;7.7;2;0.09
08:41:43.435;99;7.8;4;0.09
08:41:44.435;102;7.8;3;0.07
08:41:45.435;100;7.9;4;0.11
08:41:46.435;99;7.9;5;0.12
08:41:47.435;98;8.3;5;0.07
08:41:48.435;98;8.3;2;0.11
08:41:49.435;97;8.7;2;0.07
08:41:50.435;97;8.7;4;0.07
08:41:51.435;98;9.0;6;0.11
08:41:52.435;100;9.0;7;0.10
08:41:53.435;103;9.9;4;0.12
08:41:54.435;102;9.9;2;0.17
08:41:55.435;101;11.0;3;0.17
08:41:56.435;102;11.0;-2;0.16
08:41:57.435;102;11.7;1;0.11
08:41:58.435;103;11.7;-2;0.08
08:41:59.435;105;12.0;-2;0.06
08:42:00.435;106;12.0;-2;0.12
08:42:01.435;101;12.6;3;0.16
08:42:02.435;96;12.6;2;0.20
08:42:03.435;95;13.5;1;0.19
08:42:04.435;94;13.5;3;0.22
08:42:05.435;95;14.5;-4;0.24
08:42:06.435;95;14.5;2;0.30
08:42:07.435;96;16.1;1;0.21
08:42:08.435;96;16.1;1;0.23
08:42:09.435;96;17.5;1;0.19
08:42:10.435;96;17.5;2;0.22
08:42:11.435;97;18.8;3;0.22
08:42:12.435;96;18.8;2;0.21
08:42:13.435;97;20.0;1;0.24
08:42:14.435;98;20.0;1;0.23
