,EDA,time
0,0.435653,2021-12-17 17:32:58.250
1,0.424121,2021-12-17 17:32:58.500
2,0.445903,2021-12-17 17:32:58.750
3,0.430527,2021-12-17 17:32:59.000
4,0.421558,2021-12-17 17:32:59.250
5,0.475374,2021-12-17 17:32:59.500
6,0.507407,2021-12-17 17:32:59.750
7,0.508688,2021-12-17 17:33:00.000
8,0.498438,2021-12-17 17:33:00.250
9,0.459998,2021-12-17 17:33:00.500
10,0.46256,2021-12-17 17:33:00.750
11,0.442059,2021-12-17 17:33:01.000
12,0.386962,2021-12-17 17:33:01.250
13,0.408745,2021-12-17 17:33:01.500
14,0.417714,2021-12-17 17:33:01.750
15,0.380555,2021-12-17 17:33:02.000
16,0.352366,2021-12-17 17:33:02.250
17,0.369023,2021-12-17 17:33:02.500
18,0.377993,2021-12-17 17:33:02.750
19,0.338271,2021-12-17 17:33:03.000
20,0.329302,2021-12-17 17:33:03.250
21,0.33699,2021-12-17 17:33:03.500
22,0.338271,2021-12-17 17:33:03.750
23,0.342115,2021-12-17 17:33:04.000
24,0.360054,2021-12-17 17:33:04.250
25,0.360054,2021-12-17 17:33:04.500
26,0.360054,2021-12-17 17:33:04.750
27,0.360054,2021-12-17 17:33:05.000
28,0.358773,2021-12-17 17:33:05.250
29,0.360054,2021-12-17 17:33:05.500
30,0.357491,2021-12-17 17:33:05.750
31,0.35621,2021-12-17 17:33:06.000
32,0.357491,2021-12-17 17:33:06.250
33,0.354929,2021-12-17 17:33:06.500
34,0.35621,2021-12-17 17:33:06.750
35,0.35621,2021-12-17 17:33:07.000
36,0.352366,2021-12-17 17:33:07.250
37,0.351085,2021-12-17 17:33:07.500
38,0.351085,2021-12-17 17:33:07.750
39,0.347241,2021-12-17 17:33:08.000
40,0.343397,2021-12-17 17:33:08.250
41,0.342115,2021-12-17 17:33:08.500
42,0.344678,2021-12-17 17:33:08.750
43,0.360054,2021-12-17 17:33:09.000
44,0.358773,2021-12-17 17:33:09.250
45,0.369023,2021-12-17 17:33:09.500
46,0.398494,2021-12-17 17:33:09.750
47,0.442059,2021-12-17 17:33:10.000
48,0.459998,2021-12-17 17:33:10.250
49,0.457435,2021-12-17 17:33:10.500
50,0.447185,2021-12-17 17:33:10.750
51,0.453591,2021-12-17 17:33:11.000
52,0.46256,2021-12-17 17:33:11.250
53,0.466404,2021-12-17 17:33:11.500
54,0.467686,2021-12-17 17:33:11.750
55,0.468967,2021-12-17 17:33:12.000
56,0.466404,2021-12-17 17:33:12.250
57,0.463842,2021-12-17 17:33:12.500
58,0.459998,2021-12-17 17:33:12.750
59,0.483062,2021-12-17 17:33:13.000
60,0.427965,2021-12-17 17:33:13.250
61,0.404901,2021-12-17 17:33:13.500
62,0.288299,2021-12-17 17:33:13.750
63,0.274205,2021-12-17 17:33:14.000
64,0.26908,2021-12-17 17:33:14.250
65,0.29855,2021-12-17 17:33:14.500
66,0.367742,2021-12-17 17:33:14.750
67,0.43309,2021-12-17 17:33:15.000
68,0.439497,2021-12-17 17:33:15.250
69,0.438215,2021-12-17 17:33:15.500
70,0.451028,2021-12-17 17:33:15.750
71,0.456154,2021-12-17 17:33:16.000
72,0.454872,2021-12-17 17:33:16.250
73,0.448466,2021-12-17 17:33:16.500
74,0.442059,2021-12-17 17:33:16.750
75,0.444622,2021-12-17 17:33:17.000
76,0.444622,2021-12-17 17:33:17.250
77,0.444622,2021-12-17 17:33:17.500
78,0.443341,2021-12-17 17:33:17.750
79,0.443341,2021-12-17 17:33:18.000
80,0.440778,2021-12-17 17:33:18.250
81,0.440778,2021-12-17 17:33:18.500
82,0.435653,2021-12-17 17:33:18.750
83,0.436934,2021-12-17 17:33:19.000
84,0.435653,2021-12-17 17:33:19.250
85,0.440778,2021-12-17 17:33:19.500
86,0.443341,2021-12-17 17:33:19.750
87,0.45231,2021-12-17 17:33:20.000
88,0.453591,2021-12-17 17:33:20.250
89,0.454872,2021-12-17 17:33:20.500
90,0.46256,2021-12-17 17:33:20.750
91,0.461279,2021-12-17 17:33:21.000
92,0.463842,2021-12-17 17:33:21.250
93,0.461279,2021-12-17 17:33:21.500
94,0.463842,2021-12-17 17:33:21.750
95,0.465123,2021-12-17 17:33:22.000
96,0.463842,2021-12-17 17:33:22.250
97,0.465123,2021-12-17 17:33:22.500
98,0.463842,2021-12-17 17:33:22.750
99,0.463842,2021-12-17 17:33:23.000
100,0.46256,2021-12-17 17:33:23.250
101,0.465123,2021-12-17 17:33:23.500
102,0.466404,2021-12-17 17:33:23.750
103,0.463842,2021-12-17 17:33:24.000
104,0.465123,2021-12-17 17:33:24.250
105,0.463842,2021-12-17 17:33:24.500
106,0.463842,2021-12-17 17:33:24.750
107,0.461279,2021-12-17 17:33:25.000
108,0.458716,2021-12-17 17:33:25.250
109,0.458716,2021-12-17 17:33:25.500
110,0.458716,2021-12-17 17:33:25.750
111,0.461279,2021-12-17 17:33:26.000
112,0.448466,2021-12-17 17:33:26.250
113,0.443341,2021-12-17 17:33:26.500
114,0.439497,2021-12-17 17:33:26.750
115,0.439497,2021-12-17 17:33:27.000
116,0.439497,2021-12-17 17:33:27.250
117,0.436934,2021-12-17 17:33:27.500
118,0.436934,2021-12-17 17:33:27.750
119,0.438215,2021-12-17 17:33:28.000
120,0.435653,2021-12-17 17:33:28.250
121,0.436934,2021-12-17 17:33:28.500
122,0.435653,2021-12-17 17:33:28.750
123,0.435653,2021-12-17 17:33:29.000
124,0.435653,2021-12-17 17:33:29.250
125,0.435653,2021-12-17 17:33:29.500
126,0.43309,2021-12-17 17:33:29.750
127,0.434371,2021-12-17 17:33:30.000
128,0.43309,2021-12-17 17:33:30.250
129,0.43309,2021-12-17 17:33:30.500
130,0.43309,2021-12-17 17:33:30.750
131,0.434371,2021-12-17 17:33:31.000
132,0.434371,2021-12-17 17:33:31.250
133,0.438215,2021-12-17 17:33:31.500
134,0.436934,2021-12-17 17:33:31.750
135,0.438215,2021-12-17 17:33:32.000
136,0.436934,2021-12-17 17:33:32.250
137,0.434371,2021-12-17 17:33:32.500
138,0.43309,2021-12-17 17:33:32.750
139,0.434371,2021-12-17 17:33:33.000
140,0.431809,2021-12-17 17:33:33.250
141,0.434371,2021-12-17 17:33:33.500
142,0.429246,2021-12-17 17:33:33.750
143,0.427965,2021-12-17 17:33:34.000
144,0.426683,2021-12-17 17:33:34.250
145,0.427965,2021-12-17 17:33:34.500
146,0.426683,2021-12-17 17:33:34.750
147,0.425402,2021-12-17 17:33:35.000
