,BVP,time
0,-318.88,2021-12-17 17:38:58.171875
1,-288.8,2021-12-17 17:38:58.187500
2,-245.98,2021-12-17 17:38:58.203125
3,-197.77,2021-12-17 17:38:58.218750
4,-150.18,2021-12-17 17:38:58.234375
5,-106.91,2021-12-17 17:38:58.250000
6,-69.67,2021-12-17 17:38:58.265625
7,-38.96,2021-12-17 17:38:58.281250
8,-14.9,2021-12-17 17:38:58.296875
9,2.61,2021-12-17 17:38:58.312500
10,14.4,2021-12-17 17:38:58.328125
11,22.13,2021-12-17 17:38:58.343750
12,28.02,2021-12-17 17:38:58.359375
13,34.08,2021-12-17 17:38:58.375000
14,41.23,2021-12-17 17:38:58.390625
15,49.02,2021-12-17 17:38:58.406250
16,56.06,2021-12-17 17:38:58.421875
17,60.89,2021-12-17 17:38:58.437500
18,62.69,2021-12-17 17:38:58.453125
19,61.76,2021-12-17 17:38:58.468750
20,59.15,2021-12-17 17:38:58.484375
21,56.22,2021-12-17 17:38:58.500000
22,54.04,2021-12-17 17:38:58.515625
23,53.09,2021-12-17 17:38:58.531250
24,53.23,2021-12-17 17:38:58.546875
25,53.93,2021-12-17 17:38:58.562500
26,54.56,2021-12-17 17:38:58.578125
27,54.59,2021-12-17 17:38:58.593750
28,53.84,2021-12-17 17:38:58.609375
29,52.58,2021-12-17 17:38:58.625000
30,51.51,2021-12-17 17:38:58.640625
31,51.69,2021-12-17 17:38:58.656250
32,54.12,2021-12-17 17:38:58.671875
33,59.45,2021-12-17 17:38:58.687500
34,67.59,2021-12-17 17:38:58.703125
35,77.56,2021-12-17 17:38:58.718750
36,87.77,2021-12-17 17:38:58.734375
37,96.46,2021-12-17 17:38:58.750000
38,102.35,2021-12-17 17:38:58.765625
39,105.08,2021-12-17 17:38:58.781250
40,105.26,2021-12-17 17:38:58.796875
41,104.04,2021-12-17 17:38:58.812500
42,102.44,2021-12-17 17:38:58.828125
43,100.85,2021-12-17 17:38:58.843750
44,98.87,2021-12-17 17:38:58.859375
45,95.55,2021-12-17 17:38:58.875000
46,90.04,2021-12-17 17:38:58.890625
47,82.0,2021-12-17 17:38:58.906250
48,71.81,2021-12-17 17:38:58.921875
49,60.41,2021-12-17 17:38:58.937500
50,48.91,2021-12-17 17:38:58.953125
51,38.23,2021-12-17 17:38:58.968750
52,28.92,2021-12-17 17:38:58.984375
53,21.1,2021-12-17 17:38:59.000000
54,14.65,2021-12-17 17:38:59.015625
55,9.41,2021-12-17 17:38:59.031250
56,5.32,2021-12-17 17:38:59.046875
57,2.43,2021-12-17 17:38:59.062500
58,0.74,2021-12-17 17:38:59.078125
59,0.03,2021-12-17 17:38:59.093750
60,-0.17,2021-12-17 17:38:59.109375
61,-0.52,2021-12-17 17:38:59.125000
62,-1.76,2021-12-17 17:38:59.140625
63,-4.35,2021-12-17 17:38:59.156250
64,-8.4,2021-12-17 17:38:59.171875
65,-13.57,2021-12-17 17:38:59.187500
66,-19.18,2021-12-17 17:38:59.203125
67,-24.46,2021-12-17 17:38:59.218750
68,-28.64,2021-12-17 17:38:59.234375
69,-31.12,2021-12-17 17:38:59.250000
70,-31.62,2021-12-17 17:38:59.265625
71,-30.23,2021-12-17 17:38:59.281250
72,-27.37,2021-12-17 17:38:59.296875
73,-23.71,2021-12-17 17:38:59.312500
74,-19.98,2021-12-17 17:38:59.328125
75,-16.7,2021-12-17 17:38:59.343750
76,-14.11,2021-12-17 17:38:59.359375
77,-12.11,2021-12-17 17:38:59.375000
78,-10.47,2021-12-17 17:38:59.390625
79,-8.93,2021-12-17 17:38:59.406250
80,-7.5,2021-12-17 17:38:59.421875
81,-6.41,2021-12-17 17:38:59.437500
82,-6.02,2021-12-17 17:38:59.453125
83,-6.63,2021-12-17 17:38:59.468750
84,-8.4,2021-12-17 17:38:59.484375
85,-11.26,2021-12-17 17:38:59.500000
86,-14.78,2021-12-17 17:38:59.515625
87,-18.19,2021-12-17 17:38:59.531250
88,-20.36,2021-12-17 17:38:59.546875
89,-19.96,2021-12-17 17:38:59.562500
90,-15.64,2021-12-17 17:38:59.578125
91,-6.38,2021-12-17 17:38:59.593750
92,7.98,2021-12-17 17:38:59.609375
93,26.46,2021-12-17 17:38:59.625000
94,47.01,2021-12-17 17:38:59.640625
95,67.18,2021-12-17 17:38:59.656250
96,84.87,2021-12-17 17:38:59.671875
97,99.16,2021-12-17 17:38:59.687500
98,110.43,2021-12-17 17:38:59.703125
99,120.28,2021-12-17 17:38:59.718750
100,130.87,2021-12-17 17:38:59.734375
101,144.13,2021-12-17 17:38:59.750000
102,160.9,2021-12-17 17:38:59.765625
