,HR,time
0,73.9,2021-12-17 17:46:25
1,73.68,2021-12-17 17:46:26
2,73.78,2021-12-17 17:46:27
3,73.78,2021-12-17 17:46:28
4,73.6,2021-12-17 17:46:29
5,73.43,2021-12-17 17:46:30
6,73.3,2021-12-17 17:46:31
7,73.22,2021-12-17 17:46:32
8,73.15,2021-12-17 17:46:33
9,73.13,2021-12-17 17:46:34
10,73.15,2021-12-17 17:46:35
11,73.27,2021-12-17 17:46:36
12,73.35,2021-12-17 17:46:37
13,73.45,2021-12-17 17:46:38
14,73.53,2021-12-17 17:46:39
15,73.62,2021-12-17 17:46:40
16,73.75,2021-12-17 17:46:41
17,73.85,2021-12-17 17:46:42
18,74.0,2021-12-17 17:46:43
19,74.37,2021-12-17 17:46:44
20,74.67,2021-12-17 17:46:45
21,75.0,2021-12-17 17:46:46
22,75.33,2021-12-17 17:46:47
23,75.72,2021-12-17 17:46:48
24,76.1,2021-12-17 17:46:49
25,76.48,2021-12-17 17:46:50
26,76.85,2021-12-17 17:46:51
27,77.25,2021-12-17 17:46:52
28,77.67,2021-12-17 17:46:53
29,77.95,2021-12-17 17:46:54
30,78.22,2021-12-17 17:46:55
31,78.52,2021-12-17 17:46:56
32,78.8,2021-12-17 17:46:57
33,79.05,2021-12-17 17:46:58
34,79.02,2021-12-17 17:46:59
35,79.1,2021-12-17 17:47:00
36,79.22,2021-12-17 17:47:01
37,79.35,2021-12-17 17:47:02
38,79.53,2021-12-17 17:47:03
39,79.7,2021-12-17 17:47:04
40,79.77,2021-12-17 17:47:05
41,79.82,2021-12-17 17:47:06
42,79.75,2021-12-17 17:47:07
43,79.62,2021-12-17 17:47:08
44,79.42,2021-12-17 17:47:09
45,79.15,2021-12-17 17:47:10
46,79.13,2021-12-17 17:47:11
47,79.05,2021-12-17 17:47:12
48,78.95,2021-12-17 17:47:13
49,78.9,2021-12-17 17:47:14
50,78.83,2021-12-17 17:47:15
51,78.87,2021-12-17 17:47:16
52,78.98,2021-12-17 17:47:17
53,79.12,2021-12-17 17:47:18
54,79.23,2021-12-17 17:47:19
55,79.3,2021-12-17 17:47:20
56,79.4,2021-12-17 17:47:21
57,79.57,2021-12-17 17:47:22
58,79.72,2021-12-17 17:47:23
59,79.88,2021-12-17 17:47:24
60,80.08,2021-12-17 17:47:25
61,80.28,2021-12-17 17:47:26
62,80.1,2021-12-17 17:47:27
63,80.03,2021-12-17 17:47:28
64,79.9,2021-12-17 17:47:29
65,79.7,2021-12-17 17:47:30
66,79.52,2021-12-17 17:47:31
67,79.32,2021-12-17 17:47:32
68,79.07,2021-12-17 17:47:33
69,78.8,2021-12-17 17:47:34
70,78.57,2021-12-17 17:47:35
71,78.22,2021-12-17 17:47:36
72,77.92,2021-12-17 17:47:37
73,77.62,2021-12-17 17:47:38
74,77.32,2021-12-17 17:47:39
75,77.03,2021-12-17 17:47:40
76,76.75,2021-12-17 17:47:41
77,75.93,2021-12-17 17:47:42
78,75.18,2021-12-17 17:47:43
79,74.45,2021-12-17 17:47:44
80,73.73,2021-12-17 17:47:45
81,73.05,2021-12-17 17:47:46
82,72.33,2021-12-17 17:47:47
83,71.63,2021-12-17 17:47:48
84,71.0,2021-12-17 17:47:49
85,70.38,2021-12-17 17:47:50
86,69.73,2021-12-17 17:47:51
87,69.08,2021-12-17 17:47:52
88,68.43,2021-12-17 17:47:53
89,67.93,2021-12-17 17:47:54
90,67.43,2021-12-17 17:47:55
91,66.92,2021-12-17 17:47:56
92,66.42,2021-12-17 17:47:57
93,65.95,2021-12-17 17:47:58
94,65.77,2021-12-17 17:47:59
95,65.55,2021-12-17 17:48:00
96,65.25,2021-12-17 17:48:01
97,64.95,2021-12-17 17:48:02
98,64.52,2021-12-17 17:48:03
99,64.2,2021-12-17 17:48:04
100,63.9,2021-12-17 17:48:05
101,63.65,2021-12-17 17:48:06
102,63.47,2021-12-17 17:48:07
103,63.27,2021-12-17 17:48:08
104,63.07,2021-12-17 17:48:09
105,62.9,2021-12-17 17:48:10
106,62.68,2021-12-17 17:48:11
107,62.58,2021-12-17 17:48:12
108,62.47,2021-12-17 17:48:13
109,62.33,2021-12-17 17:48:14
110,62.22,2021-12-17 17:48:15
111,62.17,2021-12-17 17:48:16
112,62.13,2021-12-17 17:48:17
113,62.08,2021-12-17 17:48:18
114,61.98,2021-12-17 17:48:19
115,61.93,2021-12-17 17:48:20
116,61.9,2021-12-17 17:48:21
117,61.73,2021-12-17 17:48:22
118,61.57,2021-12-17 17:48:23
119,61.42,2021-12-17 17:48:24
120,61.25,2021-12-17 17:48:25
121,61.17,2021-12-17 17:48:26
122,61.13,2021-12-17 17:48:27
123,61.05,2021-12-17 17:48:28
124,60.95,2021-12-17 17:48:29
125,60.88,2021-12-17 17:48:30
126,60.78,2021-12-17 17:48:31
127,60.67,2021-12-17 17:48:32
128,60.65,2021-12-17 17:48:33
129,60.62,2021-12-17 17:48:34
130,60.52,2021-12-17 17:48:35
131,60.45,2021-12-17 17:48:36
132,60.4,2021-12-17 17:48:37
133,60.33,2021-12-17 17:48:38
134,60.28,2021-12-17 17:48:39
135,60.23,2021-12-17 17:48:40
136,60.4,2021-12-17 17:48:41
137,61.08,2021-12-17 17:48:42
138,61.5,2021-12-17 17:48:43
139,61.9,2021-12-17 17:48:44
140,62.28,2021-12-17 17:48:45
141,62.57,2021-12-17 17:48:46
142,62.87,2021-12-17 17:48:47
143,63.08,2021-12-17 17:48:48
144,63.18,2021-12-17 17:48:49
145,63.23,2021-12-17 17:48:50
146,63.27,2021-12-17 17:48:51
147,63.23,2021-12-17 17:48:52
148,63.18,2021-12-17 17:48:53
149,63.13,2021-12-17 17:48:54
150,63.12,2021-12-17 17:48:55
151,63.13,2021-12-17 17:48:56
152,63.2,2021-12-17 17:48:57
153,63.28,2021-12-17 17:48:58
154,63.38,2021-12-17 17:48:59
155,63.5,2021-12-17 17:49:00
156,63.62,2021-12-17 17:49:01
157,63.72,2021-12-17 17:49:02
158,63.87,2021-12-17 17:49:03
159,63.93,2021-12-17 17:49:04
160,64.03,2021-12-17 17:49:05
161,64.1,2021-12-17 17:49:06
162,64.1,2021-12-17 17:49:07
163,64.1,2021-12-17 17:49:08
164,64.1,2021-12-17 17:49:09
165,64.15,2021-12-17 17:49:10
166,64.22,2021-12-17 17:49:11
167,64.15,2021-12-17 17:49:12
168,64.12,2021-12-17 17:49:13
169,64.1,2021-12-17 17:49:14
170,64.1,2021-12-17 17:49:15
171,64.03,2021-12-17 17:49:16
172,63.97,2021-12-17 17:49:17
173,63.88,2021-12-17 17:49:18
174,63.85,2021-12-17 17:49:19
175,63.8,2021-12-17 17:49:20
176,63.75,2021-12-17 17:49:21
177,63.77,2021-12-17 17:49:22
178,63.78,2021-12-17 17:49:23
179,63.75,2021-12-17 17:49:24
180,63.72,2021-12-17 17:49:25
181,63.63,2021-12-17 17:49:26
182,63.57,2021-12-17 17:49:27
183,63.5,2021-12-17 17:49:28
184,63.43,2021-12-17 17:49:29
185,63.35,2021-12-17 17:49:30
186,63.28,2021-12-17 17:49:31
187,63.28,2021-12-17 17:49:32
188,63.23,2021-12-17 17:49:33
189,63.2,2021-12-17 17:49:34
190,63.15,2021-12-17 17:49:35
191,63.08,2021-12-17 17:49:36
192,62.98,2021-12-17 17:49:37
193,63.0,2021-12-17 17:49:38
194,62.93,2021-12-17 17:49:39
195,62.83,2021-12-17 17:49:40
196,62.52,2021-12-17 17:49:41
197,62.2,2021-12-17 17:49:42
198,62.12,2021-12-17 17:49:43
199,62.05,2021-12-17 17:49:44
200,62.0,2021-12-17 17:49:45
201,61.9,2021-12-17 17:49:46
202,61.8,2021-12-17 17:49:47
203,61.72,2021-12-17 17:49:48
204,61.65,2021-12-17 17:49:49
205,61.6,2021-12-17 17:49:50
206,61.5,2021-12-17 17:49:51
207,61.35,2021-12-17 17:49:52
208,61.2,2021-12-17 17:49:53
209,61.08,2021-12-17 17:49:54
210,60.93,2021-12-17 17:49:55
211,60.73,2021-12-17 17:49:56
212,60.47,2021-12-17 17:49:57
213,60.45,2021-12-17 17:49:58
214,60.35,2021-12-17 17:49:59
215,60.23,2021-12-17 17:50:00
216,60.1,2021-12-17 17:50:01
217,59.95,2021-12-17 17:50:02
218,59.8,2021-12-17 17:50:03
219,59.63,2021-12-17 17:50:04
220,59.52,2021-12-17 17:50:05
221,59.45,2021-12-17 17:50:06
222,59.48,2021-12-17 17:50:07
223,59.57,2021-12-17 17:50:08
224,59.68,2021-12-17 17:50:09
225,59.83,2021-12-17 17:50:10
226,60.02,2021-12-17 17:50:11
227,60.2,2021-12-17 17:50:12
228,60.4,2021-12-17 17:50:13
229,60.6,2021-12-17 17:50:14
230,60.75,2021-12-17 17:50:15
231,60.88,2021-12-17 17:50:16
232,60.98,2021-12-17 17:50:17
233,61.12,2021-12-17 17:50:18
234,61.32,2021-12-17 17:50:19
235,61.5,2021-12-17 17:50:20
236,61.68,2021-12-17 17:50:21
237,61.85,2021-12-17 17:50:22
238,62.02,2021-12-17 17:50:23
239,62.2,2021-12-17 17:50:24
240,62.35,2021-12-17 17:50:25
241,62.47,2021-12-17 17:50:26
242,62.53,2021-12-17 17:50:27
243,62.58,2021-12-17 17:50:28
244,62.63,2021-12-17 17:50:29
245,62.65,2021-12-17 17:50:30
246,62.63,2021-12-17 17:50:31
247,62.52,2021-12-17 17:50:32
248,62.38,2021-12-17 17:50:33
249,62.28,2021-12-17 17:50:34
250,62.17,2021-12-17 17:50:35
251,62.07,2021-12-17 17:50:36
252,61.97,2021-12-17 17:50:37
253,61.8,2021-12-17 17:50:38
254,61.72,2021-12-17 17:50:39
255,61.67,2021-12-17 17:50:40
256,61.6,2021-12-17 17:50:41
257,61.53,2021-12-17 17:50:42
258,61.45,2021-12-17 17:50:43
259,61.38,2021-12-17 17:50:44
260,61.35,2021-12-17 17:50:45
261,61.57,2021-12-17 17:50:46
262,61.83,2021-12-17 17:50:47
263,62.1,2021-12-17 17:50:48
264,62.4,2021-12-17 17:50:49
265,62.68,2021-12-17 17:50:50
266,63.02,2021-12-17 17:50:51
267,63.47,2021-12-17 17:50:52
268,64.03,2021-12-17 17:50:53
269,64.55,2021-12-17 17:50:54
270,65.07,2021-12-17 17:50:55
271,65.57,2021-12-17 17:50:56
272,66.03,2021-12-17 17:50:57
273,66.22,2021-12-17 17:50:58
274,66.43,2021-12-17 17:50:59
275,66.7,2021-12-17 17:51:00
276,67.0,2021-12-17 17:51:01
277,67.37,2021-12-17 17:51:02
278,67.75,2021-12-17 17:51:03
279,68.17,2021-12-17 17:51:04
280,68.55,2021-12-17 17:51:05
281,68.92,2021-12-17 17:51:06
282,69.22,2021-12-17 17:51:07
283,69.48,2021-12-17 17:51:08
284,69.73,2021-12-17 17:51:09
285,69.72,2021-12-17 17:51:10
286,69.67,2021-12-17 17:51:11
287,69.6,2021-12-17 17:51:12
288,69.47,2021-12-17 17:51:13
289,69.33,2021-12-17 17:51:14
290,69.28,2021-12-17 17:51:15
291,69.23,2021-12-17 17:51:16
292,69.27,2021-12-17 17:51:17
293,69.25,2021-12-17 17:51:18
294,69.17,2021-12-17 17:51:19
295,69.1,2021-12-17 17:51:20
296,69.03,2021-12-17 17:51:21
297,68.95,2021-12-17 17:51:22
298,68.9,2021-12-17 17:51:23
299,68.83,2021-12-17 17:51:24
300,68.72,2021-12-17 17:51:25
301,68.58,2021-12-17 17:51:26
