,TEMP,time
0,31.17,2021-12-17 17:46:24.250
1,31.17,2021-12-17 17:46:24.500
2,31.17,2021-12-17 17:46:24.750
3,31.17,2021-12-17 17:46:25.000
4,31.17,2021-12-17 17:46:25.250
5,31.17,2021-12-17 17:46:25.500
6,31.17,2021-12-17 17:46:25.750
7,31.19,2021-12-17 17:46:26.000
8,31.19,2021-12-17 17:46:26.250
9,31.19,2021-12-17 17:46:26.500
10,31.19,2021-12-17 17:46:26.750
11,31.17,2021-12-17 17:46:27.000
12,31.17,2021-12-17 17:46:27.250
13,31.17,2021-12-17 17:46:27.500
14,31.17,2021-12-17 17:46:27.750
15,31.19,2021-12-17 17:46:28.000
16,31.19,2021-12-17 17:46:28.250
17,31.19,2021-12-17 17:46:28.500
18,31.19,2021-12-17 17:46:28.750
19,31.21,2021-12-17 17:46:29.000
20,31.21,2021-12-17 17:46:29.250
21,31.21,2021-12-17 17:46:29.500
22,31.21,2021-12-17 17:46:29.750
23,31.21,2021-12-17 17:46:30.000
24,31.21,2021-12-17 17:46:30.250
25,31.21,2021-12-17 17:46:30.500
26,31.21,2021-12-17 17:46:30.750
27,31.19,2021-12-17 17:46:31.000
28,31.19,2021-12-17 17:46:31.250
29,31.19,2021-12-17 17:46:31.500
30,31.19,2021-12-17 17:46:31.750
31,31.19,2021-12-17 17:46:32.000
32,31.19,2021-12-17 17:46:32.250
33,31.19,2021-12-17 17:46:32.500
34,31.19,2021-12-17 17:46:32.750
35,31.19,2021-12-17 17:46:33.000
36,31.19,2021-12-17 17:46:33.250
37,31.19,2021-12-17 17:46:33.500
38,31.19,2021-12-17 17:46:33.750
39,31.19,2021-12-17 17:46:34.000
40,31.19,2021-12-17 17:46:34.250
41,31.19,2021-12-17 17:46:34.500
42,31.19,2021-12-17 17:46:34.750
43,31.21,2021-12-17 17:46:35.000
44,31.21,2021-12-17 17:46:35.250
45,31.21,2021-12-17 17:46:35.500
46,31.21,2021-12-17 17:46:35.750
47,31.19,2021-12-17 17:46:36.000
48,31.19,2021-12-17 17:46:36.250
49,31.19,2021-12-17 17:46:36.500
50,31.19,2021-12-17 17:46:36.750
51,31.19,2021-12-17 17:46:37.000
52,31.19,2021-12-17 17:46:37.250
53,31.19,2021-12-17 17:46:37.500
54,31.19,2021-12-17 17:46:37.750
55,31.19,2021-12-17 17:46:38.000
56,31.19,2021-12-17 17:46:38.250
57,31.19,2021-12-17 17:46:38.500
58,31.19,2021-12-17 17:46:38.750
59,31.19,2021-12-17 17:46:39.000
60,31.19,2021-12-17 17:46:39.250
61,31.19,2021-12-17 17:46:39.500
62,31.19,2021-12-17 17:46:39.750
63,31.17,2021-12-17 17:46:40.000
64,31.17,2021-12-17 17:46:40.250
65,31.17,2021-12-17 17:46:40.500
66,31.17,2021-12-17 17:46:40.750
67,31.15,2021-12-17 17:46:41.000
68,31.15,2021-12-17 17:46:41.250
69,31.15,2021-12-17 17:46:41.500
70,31.15,2021-12-17 17:46:41.750
71,31.15,2021-12-17 17:46:42.000
72,31.15,2021-12-17 17:46:42.250
73,31.15,2021-12-17 17:46:42.500
